configuration,group,omitted_concept,sample,source_file,e2e_latency_s,throughput_tokens_s,completion_tokens,output_sha256_12
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,31,run_33.json,6.541613340,19.567038487,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,32,run_34.json,6.542776346,19.563560364,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,1,run_03.json,6.386816263,20.041284221,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,2,run_04.json,6.498481035,19.696910602,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,3,run_05.json,6.535524607,19.585267856,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,4,run_06.json,6.580528498,19.451325231,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,5,run_07.json,6.588055372,19.429102029,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,6,run_08.json,6.571712494,19.477419336,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,7,run_09.json,6.582595587,19.445217060,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,8,run_10.json,6.490176201,19.722114784,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,9,run_11.json,6.501876116,19.686625479,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,10,run_12.json,6.513895750,19.650299132,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,11,run_13.json,6.357703209,20.133056828,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,12,run_14.json,6.493787766,19.711146194,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,13,run_15.json,6.326989412,20.230790927,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,14,run_16.json,6.482645512,19.745025356,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,15,run_17.json,6.569558382,19.483805845,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,16,run_18.json,6.451283932,19.841011705,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,17,run_19.json,6.422364950,19.930352914,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,18,run_20.json,6.423400879,19.927138663,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,19,run_21.json,6.578292370,19.457937228,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,20,run_22.json,6.562290668,19.505384090,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,21,run_23.json,6.590442181,19.422065545,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,22,run_24.json,6.569799423,19.483090998,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,23,run_25.json,6.520448446,19.630551649,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,24,run_26.json,6.330221176,20.220462514,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,25,run_27.json,6.438940048,19.879048266,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,26,run_28.json,6.324490547,20.238784301,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,27,run_29.json,6.335658312,20.203109716,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,28,run_30.json,6.333675146,20.209435604,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,29,run_31.json,6.360453129,20.124352370,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,30,run_32.json,6.327763319,20.228316634,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,31,run_33.json,6.501656532,19.687290364,128,68e10a82edac
no_kv_dtype,without KV-cache result typing,KV-cache result typing,32,run_34.json,6.507660866,19.669125764,128,68e10a82edac
no_bf8_activation,without BF8 activation lowering,BF8 activation lowering,1,run_03.json,6.612679720,19.356751789,128,68e10a82edac
no_bf8_activation,without BF8 activation lowering,BF8 activation lowering,2,run_04.json,6.471209526,19.779918960,128,68e10a82edac
no_bf8_activation,without BF8 activation lowering,BF8 activation lowering,3,run_05.json,6.460432529,19.812914912,128,68e10a82edac
